feat_mode	scenario	model	variant	accuracy	precision	recall	f1	auc
orig	Original	DT	grid_best_fold1	0.63	0.4807692307692308	0.7142857142857143	0.5747126436781609	0.6514285714285715
orig	Original	DT	grid_best_fold2	0.61	0.45652173913043476	0.6	0.5185185185185185	0.6476923076923077
orig	Original	DT	grid_best_fold3	0.69	0.5714285714285714	0.5555555555555556	0.5633802816901409	0.6605902777777778
orig	Original	DT	grid_best_fold4	0.64	0.0	0.0	0.0	0.7131076388888888
orig	Original	DT	grid_best_fold5	0.58	0.39285714285714285	0.3055555555555556	0.34375	0.695529513888889
orig	Original	DT	grid_best_fold6	0.62	0.4444444444444444	0.2222222222222222	0.2962962962962963	0.705078125
orig	Original	DT	grid_best_fold7	0.63	0.42857142857142855	0.08333333333333333	0.13953488372093023	0.7313368055555556
orig	Original	DT	grid_best_fold8	0.68	0.6111111111111112	0.3055555555555556	0.4074074074074074	0.7107204861111112
orig	Original	DT	grid_best_fold9	0.67	0.5272727272727272	0.8055555555555556	0.6373626373626373	0.736328125
orig	Original	DT	grid_best_fold10	0.62	0.4807692307692308	0.6944444444444444	0.5681818181818182	0.6629774305555556
orig	Original	RF	grid_best_fold1	0.57	0.39473684210526316	0.42857142857142855	0.410958904109589	0.6364835164835164
orig	Original	RF	grid_best_fold2	0.59	0.42105263157894735	0.45714285714285713	0.4383561643835616	0.6628571428571428
orig	Original	RF	grid_best_fold3	0.77	0.696969696969697	0.6388888888888888	0.6666666666666666	0.8253038194444444
orig	Original	RF	grid_best_fold4	0.67	0.5454545454545454	0.5	0.5217391304347826	0.7309027777777778
orig	Original	RF	grid_best_fold5	0.66	0.5357142857142857	0.4166666666666667	0.46875	0.7513020833333333
orig	Original	RF	grid_best_fold6	0.69	0.5925925925925926	0.4444444444444444	0.5079365079365079	0.7708333333333333
orig	Original	RF	grid_best_fold7	0.6	0.4473684210526316	0.4722222222222222	0.4594594594594595	0.6623263888888888
orig	Original	RF	grid_best_fold8	0.65	0.5128205128205128	0.5555555555555556	0.5333333333333333	0.7165798611111112
orig	Original	RF	grid_best_fold9	0.68	0.55	0.6111111111111112	0.5789473684210527	0.7358940972222222
orig	Original	RF	grid_best_fold10	0.62	0.475	0.5277777777777778	0.5	0.718532986111111
orig	Original	KNN	grid_best_fold1	0.58	0.4186046511627907	0.5142857142857142	0.46153846153846156	0.5648351648351648
orig	Original	KNN	grid_best_fold2	0.63	0.47058823529411764	0.45714285714285713	0.463768115942029	0.6230769230769231
orig	Original	KNN	grid_best_fold3	0.69	0.5862068965517241	0.4722222222222222	0.5230769230769231	0.6423611111111112
orig	Original	KNN	grid_best_fold4	0.63	0.4838709677419355	0.4166666666666667	0.44776119402985076	0.7272135416666667
orig	Original	KNN	grid_best_fold5	0.64	0.5	0.4166666666666667	0.45454545454545453	0.7326388888888888
orig	Original	KNN	grid_best_fold6	0.63	0.48148148148148145	0.3611111111111111	0.4126984126984127	0.5711805555555556
